,State,District,Year,Quartar,Trans_Count,Amount
366,Andhra Pradesh,West Godavari,2023,3,102962058,191891823401.0
367,Andhra Pradesh,Kurnool,2023,3,92890445,172979053545.0
368,Andhra Pradesh,Chittoor,2023,3,152863845,265404757144.0
369,Andhra Pradesh,Guntur,2023,3,150246761,270651818044.0
370,Andhra Pradesh,Krishna,2023,3,159421907,279540224039.0
371,Andhra Pradesh,East Godavari,2023,4,162793144,282329255747.0
372,Andhra Pradesh,Srikakulam,2023,4,56291337,97021746702.0
373,Andhra Pradesh,Spsr Nellore,2023,4,97721962,179306028468.0
374,Andhra Pradesh,Vizianagaram,2023,4,53248760,90289502507.0
375,Andhra Pradesh,Visakhapatnam,2023,4,223584765,344512874812.0
376,Andhra Pradesh,Prakasam,2023,4,89721677,174929737360.0
377,Andhra Pradesh,Anantapur,2023,4,113698752,203367177888.0
378,Andhra Pradesh,Ysr,2023,4,83729195,176644897379.0
379,Andhra Pradesh,West Godavari,2023,4,114825704,209237892746.0
380,Andhra Pradesh,Kurnool,2023,4,103816175,190597527675.0
381,Andhra Pradesh,Chittoor,2023,4,163521593,274132458092.0
382,Andhra Pradesh,Guntur,2023,4,160724947,281806839570.0
383,Andhra Pradesh,Krishna,2023,4,173309415,298339038877.0
384,Arunachal Pradesh,Lower Dibang Valley,2018,1,1356,1076236.814073793
385,Arunachal Pradesh,Lower Subansiri,2018,1,1477,3650727.893614269
386,Arunachal Pradesh,Longding,2018,1,2321,4361531.578447229
387,Arunachal Pradesh,West Siang,2018,1,1887,4796675.565399804
388,Arunachal Pradesh,Kamle,2018,1,14,7971.330494807651
